15:39:50.929 place-ship: size=4 pos=(2,5) dir=horizontal
15:39:50.951 enemy-shot: pos=(9,6) result=miss
15:39:50.951 shot: pos=(0,7) result=miss
15:39:50.951 enemy-shot: pos=(0,9) result=miss
15:39:50.951 shot: pos=(5,0) result=miss
15:39:50.951 enemy-shot: pos=(0,3) result=miss
15:39:50.951 shot: pos=(5,3) result=miss
15:39:50.951 enemy-shot: pos=(4,3) result=miss
15:39:50.951 shot: pos=(4,0) result=miss
15:39:50.951 enemy-shot: pos=(2,7) result=sunk ship-size=1
15:39:50.951 game-over: result=lose total-shots=96 enemy-total-shots=96
15:39:50.951 enemy-ship: size=4 pos=(4,9) dir=horizontal
15:39:50.951 enemy-ship: size=3 pos=(1,1) dir=horizontal
15:39:50.951 enemy-ship: size=3 pos=(2,4) dir=vertical
15:39:50.952 enemy-ship: size=2 pos=(5,5) dir=vertical
15:39:50.952 enemy-ship: size=2 pos=(8,4) dir=vertical
15:39:50.952 enemy-ship: size=2 pos=(7,0) dir=horizontal
15:39:50.952 enemy-ship: size=1 pos=(8,7) dir=horizontal
15:39:50.952 enemy-ship: size=1 pos=(9,9) dir=horizontal
15:39:50.952 enemy-ship: size=1 pos=(1,9) dir=vertical
15:39:50.952 enemy-ship: size=1 pos=(1,3) dir=vertical
