15:39:21.862 place-ship: size=4 pos=(0,2) dir=horizontal
15:39:21.872 enemy-shot: pos=(2,3) result=miss
15:39:21.872 shot: pos=(2,5) result=hit
15:39:21.872 enemy-shot: pos=(6,5) result=miss
15:39:21.872 shot: pos=(3,4) result=miss
15:39:21.872 enemy-shot: pos=(7,1) result=miss
15:39:21.872 shot: pos=(0,9) result=miss
15:39:21.872 enemy-shot: pos=(7,6) result=sunk ship-size=2
15:39:21.873 shot: pos=(2,6) result=miss
15:39:21.873 enemy-shot: pos=(3,8) result=miss
15:39:21.873 shot: pos=(1,6) result=miss
15:39:21.873 enemy-shot: pos=(5,9) result=miss
15:39:21.873 shot: pos=(1,0) result=miss
15:39:21.873 enemy-shot: pos=(8,2) result=miss
15:39:21.873 shot: pos=(1,4) result=miss
15:39:21.873 enemy-shot: pos=(0,1) result=miss
15:39:21.873 shot: pos=(1,1) result=miss
15:39:21.873 enemy-shot: pos=(1,6) result=miss
15:39:21.873 shot: pos=(1,5) result=sunk ship-size=4
15:39:21.873 enemy-shot: pos=(5,6) result=sunk ship-size=1
15:39:21.873 shot: pos=(8,9) result=hit
15:39:21.873 enemy-shot: pos=(4,8) result=miss
15:39:21.874 shot: pos=(5,3) result=miss
15:39:21.874 enemy-shot: pos=(9,3) result=miss
15:39:21.874 shot: pos=(3,6) result=miss
15:39:21.874 enemy-shot: pos=(4,7) result=miss
15:39:21.874 shot: pos=(1,2) result=miss
15:39:21.874 enemy-shot: pos=(9,0) result=miss
15:39:21.874 shot: pos=(3,1) result=sunk ship-size=1
15:39:21.874 enemy-shot: pos=(0,5) result=miss
15:39:21.874 shot: pos=(5,8) result=miss
15:39:21.874 enemy-shot: pos=(6,3) result=hit
15:39:21.874 shot: pos=(3,8) result=miss
15:39:21.874 enemy-shot: pos=(3,1) result=miss
15:39:21.874 shot: pos=(0,7) result=sunk ship-size=2
15:39:21.874 enemy-shot: pos=(1,2) result=hit
15:39:21.875 shot: pos=(8,8) result=sunk ship-size=2
15:39:21.875 enemy-shot: pos=(1,4) result=miss
15:39:21.875 shot: pos=(9,4) result=miss
15:39:21.875 enemy-shot: pos=(1,0) result=miss
15:39:21.875 shot: pos=(4,4) result=miss
15:39:21.875 enemy-shot: pos=(0,7) result=miss
15:39:21.875 shot: pos=(7,4) result=miss
15:39:21.875 enemy-shot: pos=(5,0) result=hit
15:39:21.875 shot: pos=(9,2) result=sunk ship-size=1
15:39:21.875 enemy-shot: pos=(2,2) result=hit
15:39:21.875 shot: pos=(9,9) result=miss
15:39:21.875 enemy-shot: pos=(5,4) result=miss
15:39:21.875 shot: pos=(8,6) result=sunk ship-size=3
15:39:21.875 enemy-shot: pos=(9,5) result=miss
15:39:21.876 shot: pos=(4,9) result=sunk ship-size=2
15:39:21.876 enemy-shot: pos=(4,4) result=miss
15:39:21.876 shot: pos=(2,7) result=miss
15:39:21.876 enemy-shot: pos=(9,7) result=miss
15:39:21.876 shot: pos=(7,9) result=miss
15:39:21.876 enemy-shot: pos=(2,8) result=miss
15:39:21.876 shot: pos=(0,0) result=miss
15:39:21.876 enemy-shot: pos=(6,8) result=sunk ship-size=2
15:39:21.876 shot: pos=(6,8) result=miss
15:39:21.876 enemy-shot: pos=(1,7) result=miss
15:39:21.876 shot: pos=(1,8) result=miss
15:39:21.876 enemy-shot: pos=(8,3) result=miss
15:39:21.876 shot: pos=(8,4) result=miss
15:39:21.876 enemy-shot: pos=(9,2) result=miss
15:39:21.877 shot: pos=(6,1) result=miss
15:39:21.877 enemy-shot: pos=(6,6) result=miss
15:39:21.877 shot: pos=(9,7) result=sunk ship-size=1
15:39:21.877 game-over: result=win total-shots=81 enemy-total-shots=80
15:39:21.877 enemy-ship: size=4 pos=(0,5) dir=horizontal
15:39:21.877 enemy-ship: size=3 pos=(6,6) dir=horizontal
15:39:21.877 enemy-ship: size=3 pos=(6,3) dir=horizontal
15:39:21.877 enemy-ship: size=2 pos=(3,9) dir=horizontal
15:39:21.877 enemy-ship: size=2 pos=(0,7) dir=vertical
15:39:21.877 enemy-ship: size=2 pos=(8,8) dir=vertical
15:39:21.877 enemy-ship: size=1 pos=(9,7) dir=horizontal
15:39:21.877 enemy-ship: size=1 pos=(9,2) dir=vertical
15:39:21.877 enemy-ship: size=1 pos=(3,1) dir=horizontal
15:39:21.877 enemy-ship: size=1 pos=(5,4) dir=vertical
